"iso_a3","country","year","region","income_group","gdp_percap","population","birth_rate","neonat_mortal"
"ALB","Albania",1996,"Europe & Central Asia","Upper middle income",3245.55755781673,3168033,21.896,14.1
"ALB","Albania",1997,"Europe & Central Asia","Upper middle income",2982.99239553394,3148281,21.249,13.6
"ALB","Albania",1998,"Europe & Central Asia","Upper middle income",3419.77114055143,3128530,20.539,13
"ALB","Albania",1999,"Europe & Central Asia","Upper middle income",3847.07575478155,3108778,19.77,12.5
"ALB","Albania",2000,"Europe & Central Asia","Upper middle income",4248.83789070839,3089027,18.938,12
"ALB","Albania",2001,"Europe & Central Asia","Upper middle income",4693.7041975562,3060173,18.046,11.5
"ALB","Albania",2002,"Europe & Central Asia","Upper middle income",4918.69333368358,3051010,17.118,11.1
"ALB","Albania",2003,"Europe & Central Asia","Upper middle income",5322.60832234141,3039616,16.188,10.6
"ALB","Albania",2004,"Europe & Central Asia","Upper middle income",5815.88983654501,3026939,15.29,10.2
"ALB","Albania",2005,"Europe & Central Asia","Upper middle income",6365.68088362333,3011487,14.474,9.8
"ALB","Albania",2006,"Europe & Central Asia","Upper middle income",7181.10822762171,2992547,13.788,9.4
"ALB","Albania",2007,"Europe & Central Asia","Upper middle income",7659.17352668723,2970017,13.255,9.1
"ALB","Albania",2008,"Europe & Central Asia","Upper middle income",8769.11767025522,2947314,12.885,8.7
"ALB","Albania",2009,"Europe & Central Asia","Upper middle income",9345.09376150331,2927519,12.674,8.4
"ALB","Albania",2010,"Europe & Central Asia","Upper middle income",9297.49275289637,2913021,12.607,8.1
"ALB","Albania",2011,"Europe & Central Asia","Upper middle income",9640.13021649275,2904780,12.651,7.9
"ALB","Albania",2012,"Europe & Central Asia","Upper middle income",9666.69732164956,2900489,12.756,7.7
"ALB","Albania",2013,"Europe & Central Asia","Upper middle income",9925.90662345448,2897366,12.877,7.4
"ALB","Albania",2014,"Europe & Central Asia","Upper middle income",10428.4558717232,2894475,,
"AND","Andorra",1990,"Europe & Central Asia","High income",,54511,11.9,4.2
"AND","Andorra",1991,"Europe & Central Asia","High income",,56674,11.9,4
"AND","Andorra",1992,"Europe & Central Asia","High income",,58904,12.1,3.7
"AND","Andorra",1993,"Europe & Central Asia","High income",,61003,11.4,3.4
"AND","Andorra",1994,"Europe & Central Asia","High income",,62707,10.9,3.2
"AND","Andorra",1995,"Europe & Central Asia","High income",,63854,11,3
"AND","Andorra",1996,"Europe & Central Asia","High income",,64274,10.9,2.8
"AND","Andorra",1997,"Europe & Central Asia","High income",,64090,11.2,2.7
"AND","Andorra",1998,"Europe & Central Asia","High income",,63799,11.9,2.5
"AND","Andorra",1999,"Europe & Central Asia","High income",,64084,12.6,2.4
"AND","Andorra",2000,"Europe & Central Asia","High income",,65399,11.3,2.3
"AND","Andorra",2001,"Europe & Central Asia","High income",,68000,11.8,2.1
"AND","Andorra",2002,"Europe & Central Asia","High income",,71639,11.2,2.1
"AND","Andorra",2003,"Europe & Central Asia","High income",,75643,10.3,2
"AND","Andorra",2004,"Europe & Central Asia","High income",,79060,10.9,1.9
"AND","Andorra",2005,"Europe & Central Asia","High income",,81223,10.7,1.9
"AND","Andorra",2006,"Europe & Central Asia","High income",,81877,10.6,1.8
"AND","Andorra",2007,"Europe & Central Asia","High income",,81292,10.1,1.7
"AND","Andorra",2008,"Europe & Central Asia","High income",,79969,10.4,1.7
"AND","Andorra",2009,"Europe & Central Asia","High income",,78659,9.9,1.6
"AND","Andorra",2010,"Europe & Central Asia","High income",,77907,9.8,1.6
"AND","Andorra",2011,"Europe & Central Asia","High income",,77865,,1.5
"AND","Andorra",2012,"Europe & Central Asia","High income",,78360,9.5,1.5
"AND","Andorra",2013,"Europe & Central Asia","High income",,79218,,1.4
"AND","Andorra",2014,"Europe & Central Asia","High income",,80153,,
"ARE","United Arab Emirates",1990,"Middle East & North Africa","High income",74219.657743342,1806498,25.892,9.3
"ARE","United Arab Emirates",1991,"Middle East & North Africa","High income",73234.8914500162,1908002,24.746,8.9
"ARE","United Arab Emirates",1992,"Middle East & North Africa","High income",73372.9099159536,2012977,23.566,8.5
"ARE","United Arab Emirates",1993,"Middle East & North Africa","High income",72187.0601969758,2121143,22.396,8.2
"ARE","United Arab Emirates",1994,"Middle East & North Africa","High income",74887.8862930079,2232159,21.275,7.8
"ARE","United Arab Emirates",1995,"Middle East & North Africa","High income",77594.7417584624,2346305,20.238,7.6
"ARE","United Arab Emirates",1996,"Middle East & North Africa","High income",79380.4072707186,2470810,19.309,7.4
"ARE","United Arab Emirates",1997,"Middle East & North Africa","High income",82725.3790952054,2608993,18.488,7.1
"ARE","United Arab Emirates",1998,"Middle East & North Africa","High income",79465.9350918445,2753498,17.778,6.9
"ARE","United Arab Emirates",1999,"Middle East & North Africa","High income",79002.4470659475,2893648,17.189,6.7
"ARE","United Arab Emirates",2000,"Middle East & North Africa","High income",85641.6036380913,3026352,16.738,6.5
"ARE","United Arab Emirates",2001,"Middle East & North Africa","High income",85819.9278490964,3132104,16.438,6.4
"ARE","United Arab Emirates",2002,"Middle East & North Africa","High income",86714.4748633721,3223969,16.274,6.2
"ARE","United Arab Emirates",2003,"Middle East & North Africa","High income",92077.7339847298,3369254,16.218,6
"ARE","United Arab Emirates",2004,"Middle East & North Africa","High income",95460.7293204185,3658658,16.24,5.9
"ARE","United Arab Emirates",2005,"Middle East & North Africa","High income",91108.5265268859,4148883,16.302,5.8
"ARE","United Arab Emirates",2006,"Middle East & North Africa","High income",87770.8736228745,4875639,16.365,5.6
"ARE","United Arab Emirates",2007,"Middle East & North Africa","High income",78194.0274106883,5797347,16.395,5.5
"ARE","United Arab Emirates",2008,"Middle East & North Africa","High income",70155.736481661,6798635,16.357,5.4
"ARE","United Arab Emirates",2009,"Middle East & North Africa","High income",59001.0271258921,7718319,16.224,5.3
"ARE","United Arab Emirates",2010,"Middle East & North Africa","High income",55498.0983126306,8441537,15.969,5.2
"ARE","United Arab Emirates",2011,"Middle East & North Africa","High income",56192.2592844264,8925096,15.578,5.1
"ARE","United Arab Emirates",2012,"Middle East & North Africa","High income",58052.0094307375,9205651,15.069,5
"ARE","United Arab Emirates",2013,"Middle East & North Africa","High income",61049.0928739811,9346129,14.466,4.8
"ARE","United Arab Emirates",2014,"Middle East & North Africa","High income",63497.0526751315,9445624,,
"ARG","Argentina",1990,"Latin America & Caribbean","Upper middle income",,32624874,21.72,15.8
"ARG","Argentina",1991,"Latin America & Caribbean","Upper middle income",,33075194,21.527,15.2
"ARG","Argentina",1992,"Latin America & Caribbean","Upper middle income",,33520803,21.31,14.6
"ARG","Argentina",1993,"Latin America & Caribbean","Upper middle income",,33961947,21.067,14.1
"ARG","Argentina",1994,"Latin America & Caribbean","Upper middle income",,34399343,20.8,13.5
"ARG","Argentina",1995,"Latin America & Caribbean","Upper middle income",,34833168,20.503,13.1
"ARG","Argentina",1996,"Latin America & Caribbean","Upper middle income",,35264070,20.176,12.7
"ARG","Argentina",1997,"Latin America & Caribbean","Upper middle income",,35690778,19.827,12.2
"ARG","Argentina",1998,"Latin America & Caribbean","Upper middle income",,36109342,19.465,11.8
"ARG","Argentina",1999,"Latin America & Caribbean","Upper middle income",,36514558,19.103,11.5
"ARG","Argentina",2000,"Latin America & Caribbean","Upper middle income",,36903067,18.757,11.1
"ARG","Argentina",2001,"Latin America & Caribbean","Upper middle income",,37273361,18.445,10.8
"ARG","Argentina",2002,"Latin America & Caribbean","Upper middle income",,37627545,18.177,10.5
"ARG","Argentina",2003,"Latin America & Caribbean","Upper middle income",,37970411,17.958,10.1
"ARG","Argentina",2004,"Latin America & Caribbean","Upper middle income",,38308779,17.788,9.7
"ARG","Argentina",2005,"Latin America & Caribbean","Upper middle income",,38647854,17.66,9.2
"ARG","Argentina",2006,"Latin America & Caribbean","Upper middle income",,38988923,17.564,8.8
"ARG","Argentina",2007,"Latin America & Caribbean","Upper middle income",,39331357,17.481,8.5
"ARG","Argentina",2008,"Latin America & Caribbean","Upper middle income",,39676083,17.396,8.3
"ARG","Argentina",2009,"Latin America & Caribbean","Upper middle income",,40023641,17.301,8
"ARG","Argentina",2010,"Latin America & Caribbean","Upper middle income",,40374224,17.188,7.8
"ARG","Argentina",2011,"Latin America & Caribbean","Upper middle income",,40728738,17.057,7.6
"ARG","Argentina",2012,"Latin America & Caribbean","Upper middle income",,41086927,16.911,7.3
"ARG","Argentina",2013,"Latin America & Caribbean","Upper middle income",,41446246,16.756,7.1
"ARG","Argentina",2014,"Latin America & Caribbean","Upper middle income",,41803125,,
"ARM","Armenia",1990,"Europe & Central Asia","Lower middle income",2414.40150066202,3544695,21.6,24.2
"ARM","Armenia",1991,"Europe & Central Asia","Lower middle income",2223.44591506761,3511912,20.652,23.4
"ARM","Armenia",1992,"Europe & Central Asia","Lower middle income",1347.49088952833,3449497,19.546,22.6
"ARM","Armenia",1993,"Europe & Central Asia","Lower middle income",1287.95417735558,3369673,18.348,21.7
"ARM","Armenia",1994,"Europe & Central Asia","Lower middle income",1419.99153961188,3289943,17.123,20.9
"ARM","Armenia",1995,"Europe & Central Asia","Lower middle income",1581.73294260597,3223173,15.962,20.1
"ARM","Armenia",1996,"Europe & Central Asia","Lower middle income",1731.80656504378,3173425,14.957,19.4
"ARM","Armenia",1997,"Europe & Central Asia","Lower middle income",1840.69599796794,3137652,14.16,18.6
"ARM","Armenia",1998,"Europe & Central Asia","Lower middle income",2012.3388831387,3112958,13.6,18
"ARM","Armenia",1999,"Europe & Central Asia","Lower middle income",2123.61322577432,3093820,13.286,17.3
"ARM","Armenia",2000,"Europe & Central Asia","Lower middle income",2313.33193028303,3076098,13.201,16.6
"ARM","Armenia",2001,"Europe & Central Asia","Lower middle income",2605.83631823085,3059960,13.299,15.9
"ARM","Armenia",2002,"Europe & Central Asia","Lower middle income",3007.46315479918,3047002,13.494,15.3
"ARM","Armenia",2003,"Europe & Central Asia","Lower middle income",3510.76542070914,3036032,13.712,14.7
"ARM","Armenia",2004,"Europe & Central Asia","Lower middle income",3998.57918383257,3025652,13.911,14.1
"ARM","Armenia",2005,"Europe & Central Asia","Lower middle income",4716.24325736811,3014917,14.061,13.5
"ARM","Armenia",2006,"Europe & Central Asia","Lower middle income",5524.71259533358,3002911,14.152,12.9
"ARM","Armenia",2007,"Europe & Central Asia","Lower middle income",6479.677239419,2989882,14.201,12.4
"ARM","Armenia",2008,"Europe & Central Asia","Lower middle income",7092.05022891426,2977488,14.219,11.9
"ARM","Armenia",2009,"Europe & Central Asia","Lower middle income",6154.05639011546,2968154,14.201,11.4
"ARM","Armenia",2010,"Europe & Central Asia","Lower middle income",6376.2681923789,2963496,14.14,10.9
"ARM","Armenia",2011,"Europe & Central Asia","Lower middle income",6812.35195593287,2964120,14.033,10.4
"ARM","Armenia",2012,"Europe & Central Asia","Lower middle income",7421.52243919022,2969081,13.884,10
"ARM","Armenia",2013,"Europe & Central Asia","Lower middle income",7776.12739528113,2976566,13.699,9.5
"ARM","Armenia",2014,"Europe & Central Asia","Lower middle income",8137.53028650576,2983990,,
"ASM","American Samoa",1990,"East Asia & Pacific","Upper middle income",,47044,,
"ASM","American Samoa",1991,"East Asia & Pacific","Upper middle income",,48379,,
"ASM","American Samoa",1992,"East Asia & Pacific","Upper middle income",,49597,,
"ASM","American Samoa",1993,"East Asia & Pacific","Upper middle income",,50725,,
"ASM","American Samoa",1994,"East Asia & Pacific","Upper middle income",,51807,,
"ASM","American Samoa",1995,"East Asia & Pacific","Upper middle income",,52874,,
"ASM","American Samoa",1996,"East Asia & Pacific","Upper middle income",,53926,,
"ASM","American Samoa",1997,"East Asia & Pacific","Upper middle income",,54942,,
"ASM","American Samoa",1998,"East Asia & Pacific","Upper middle income",,55899,,
"ASM","American Samoa",1999,"East Asia & Pacific","Upper middle income",,56768,,
"ASM","American Samoa",2000,"East Asia & Pacific","Upper middle income",,57522,,
"ASM","American Samoa",2001,"East Asia & Pacific","Upper middle income",,58176,,
"ASM","American Samoa",2002,"East Asia & Pacific","Upper middle income",,58729,,
"ASM","American Samoa",2003,"East Asia & Pacific","Upper middle income",,59117,,
"ASM","American Samoa",2004,"East Asia & Pacific","Upper middle income",,59262,,
"ASM","American Samoa",2005,"East Asia & Pacific","Upper middle income",,59117,,
"ASM","American Samoa",2006,"East Asia & Pacific","Upper middle income",,58652,21.6,
"ASM","American Samoa",2007,"East Asia & Pacific","Upper middle income",,57919,,
"ASM","American Samoa",2008,"East Asia & Pacific","Upper middle income",,57053,,
"ASM","American Samoa",2009,"East Asia & Pacific","Upper middle income",,56245,,
"ASM","American Samoa",2010,"East Asia & Pacific","Upper middle income",,55636,18.7,
"ASM","American Samoa",2011,"East Asia & Pacific","Upper middle income",,55274,,
"ASM","American Samoa",2012,"East Asia & Pacific","Upper middle income",,55128,,
"ASM","American Samoa",2013,"East Asia & Pacific","Upper middle income",,55165,,
"ASM","American Samoa",2014,"East Asia & Pacific","Upper middle income",,55320,,
"ATG","Antigua and Barbuda",1990,"Latin America & Caribbean","High income",11087.0017397968,61906,18.779,12.4
"ATG","Antigua and Barbuda",1991,"Latin America & Caribbean","High income",11594.5836775759,62412,18.879,11.9
"ATG","Antigua and Barbuda",1992,"Latin America & Caribbean","High income",11766.7820782351,63434,19.047,11.4
"ATG","Antigua and Barbuda",1993,"Latin America & Caribbean","High income",12415.4035437574,64868,19.274,10.9
"ATG","Antigua and Barbuda",1994,"Latin America & Caribbean","High income",13141.1910059715,66550,19.54,10.4
"ATG","Antigua and Barbuda",1995,"Latin America & Caribbean","High income",12516.5937012495,68349,19.816,10
"ATG","Antigua and Barbuda",1996,"Latin America & Caribbean","High income",13236.8642298699,70245,20.064,9.6
"ATG","Antigua and Barbuda",1997,"Latin America & Caribbean","High income",13732.7667552044,72232,20.251,9.2
"ATG","Antigua and Barbuda",1998,"Latin America & Caribbean","High income",14108.1119898405,74206,20.352,8.8
"ATG","Antigua and Barbuda",1999,"Latin America & Caribbean","High income",14554.480731518,76041,20.351,8.4
"ATG","Antigua and Barbuda",2000,"Latin America & Caribbean","High income",15312.5663963211,77648,20.24,8
"ATG","Antigua and Barbuda",2001,"Latin America & Caribbean","High income",14907.0725261724,78972,20.022,7.7
"ATG","Antigua and Barbuda",2002,"Latin America & Caribbean","High income",15372.5781194249,80030,19.724,7.4
"ATG","Antigua and Barbuda",2003,"Latin America & Caribbean","High income",16426.9243052796,80904,19.374,7.1
"ATG","Antigua and Barbuda",2004,"Latin America & Caribbean","High income",17593.8761499796,81718,18.992,6.8
"ATG","Antigua and Barbuda",2005,"Latin America & Caribbean","High income",19067.0682345173,82565,18.599,6.6
"ATG","Antigua and Barbuda",2006,"Latin America & Caribbean","High income",22040.9135550974,83467,18.214,6.3
"ATG","Antigua and Barbuda",2007,"Latin America & Caribbean","High income",24503.84472287,84397,17.848,6.1
"ATG","Antigua and Barbuda",2008,"Latin America & Caribbean","High income",24723.4014419603,85349,17.513,5.9
"ATG","Antigua and Barbuda",2009,"Latin America & Caribbean","High income",21671.3756141615,86300,17.216,5.7
"ATG","Antigua and Barbuda",2010,"Latin America & Caribbean","High income",20151.3097864672,87233,16.966,5.5
"ATG","Antigua and Barbuda",2011,"Latin America & Caribbean","High income",19987.9241389288,88152,16.763,5.3
"ATG","Antigua and Barbuda",2012,"Latin America & Caribbean","High income",20946.7007773885,89069,16.595,5.2
"ATG","Antigua and Barbuda",2013,"Latin America & Caribbean","High income",21027.3976410307,89985,16.451,5
"ATG","Antigua and Barbuda",2014,"Latin America & Caribbean","High income",21799.0807053732,90903,,
"AUS","Australia",1990,"East Asia & Pacific","High income",17357.6567413215,17065100,15.4,4.7
"AUS","Australia",1991,"East Asia & Pacific","High income",17807.9577933837,17284000,14.9,4.4
"AUS","Australia",1992,"East Asia & Pacific","High income",18200.8047529247,17495000,15.1,4.2
"AUS","Australia",1993,"East Asia & Pacific","High income",19141.2308228701,17667000,14.7,4.1
"AUS","Australia",1994,"East Asia & Pacific","High income",20066.216532507,17855000,14.5,3.9
"AUS","Australia",1995,"East Asia & Pacific","High income",20966.3071384641,18072000,14.2,3.8
"AUS","Australia",1996,"East Asia & Pacific","High income",22020.4206883911,18311000,13.9,3.7
"AUS","Australia",1997,"East Asia & Pacific","High income",22938.7963877894,18517000,13.6,3.6
"AUS","Australia",1998,"East Asia & Pacific","High income",24220.6392148085,18711000,13.3,3.6
"AUS","Australia",1999,"East Asia & Pacific","High income",25269.8234773227,18926000,13.1,3.5
"AUS","Australia",2000,"East Asia & Pacific","High income",26333.8858273582,19153000,13,3.5
"AUS","Australia",2001,"East Asia & Pacific","High income",27386.2180850096,19413000,12.7,3.4
"AUS","Australia",2002,"East Asia & Pacific","High income",28689.2659459317,19651400,12.8,3.4
"AUS","Australia",2003,"East Asia & Pacific","High income",29691.1542280732,19895400,12.6,3.3
"AUS","Australia",2004,"East Asia & Pacific","High income",31318.6234494447,20127400,12.3,3.3
"AUS","Australia",2005,"East Asia & Pacific","High income",32571.8201206212,20394800,12.8,3.2
"AUS","Australia",2006,"East Asia & Pacific","High income",34325.0175743595,20697900,12.9,3.2
"AUS","Australia",2007,"East Asia & Pacific","High income",36555.7775415274,20827600,14.1,3.1
"AUS","Australia",2008,"East Asia & Pacific","High income",37494.5933995015,21249200,14,3
"AUS","Australia",2009,"East Asia & Pacific","High income",40192.7267393892,21691700,13.9,2.9
"AUS","Australia",2010,"East Asia & Pacific","High income",39086.4159365573,22031750,13.7,2.8
"AUS","Australia",2011,"East Asia & Pacific","High income",41705.9450796006,22340024,13.6,2.7
"AUS","Australia",2012,"East Asia & Pacific","High income",43011.4568947214,22728254,13.7,2.5
"AUS","Australia",2013,"East Asia & Pacific","High income",43208.779145574,23125868,13.2,2.4
"AUS","Australia",2014,"East Asia & Pacific","High income",43901.5548535076,23490736,,
"AUT","Austria",1990,"Europe & Central Asia","High income",19513.8729923133,7677850,11.8,4.5
"AUT","Austria",1991,"Europe & Central Asia","High income",20650.172752271,7754891,12.2,4.3
"AUT","Austria",1992,"Europe & Central Asia","High income",21327.0610442183,7840709,12.2,4.2
"AUT","Austria",1993,"Europe & Central Asia","High income",21769.2292999558,7905633,12,4
"AUT","Austria",1994,"Europe & Central Asia","High income",22679.0933371709,7936118,11.6,3.8
"AUT","Austria",1995,"Europe & Central Asia","High income",23733.4618225785,7948278,11.2,3.6
"AUT","Austria",1996,"Europe & Central Asia","High income",24598.0176604877,7959017,11.2,3.4
"AUT","Austria",1997,"Europe & Central Asia","High income",25551.726352363,7968041,10.5,3.3
"AUT","Austria",1998,"Europe & Central Asia","High income",26741.8929744099,7976789,10.2,3.2
"AUT","Austria",1999,"Europe & Central Asia","High income",27752.7136561702,7992324,9.8,3.1
"AUT","Austria",2000,"Europe & Central Asia","High income",29574.163781248,8011566,9.8,3.1
"AUT","Austria",2001,"Europe & Central Asia","High income",29849.3770416161,8042293,9.4,3
"AUT","Austria",2002,"Europe & Central Asia","High income",31261.5585362866,8081957,9.7,3
"AUT","Austria",2003,"Europe & Central Asia","High income",32199.2697964828,8121423,9.5,2.9
"AUT","Austria",2004,"Europe & Central Asia","High income",33809.7479595122,8171966,9.7,2.8
"AUT","Austria",2005,"Europe & Central Asia","High income",34691.2158172061,8227829,9.5,2.8
"AUT","Austria",2006,"Europe & Central Asia","High income",37649.5289771786,8268641,9.4,2.8
"AUT","Austria",2007,"Europe & Central Asia","High income",39238.3018081273,8295487,9.2,2.7
"AUT","Austria",2008,"Europe & Central Asia","High income",41151.5864527839,8321496,9.3,2.7
"AUT","Austria",2009,"Europe & Central Asia","High income",40633.3898946293,8343323,9.2,2.6
"AUT","Austria",2010,"Europe & Central Asia","High income",41804.2301651514,8363404,9.4,2.6
"AUT","Austria",2011,"Europe & Central Asia","High income",44028.7740444403,8391643,9.3,2.5
"AUT","Austria",2012,"Europe & Central Asia","High income",44872.635165481,8429991,9.4,2.4
"AUT","Austria",2013,"Europe & Central Asia","High income",45081.4781159863,8479375,9.4,2.3
"AUT","Austria",2014,"Europe & Central Asia","High income",46164.9443210062,8534492,,
"AZE","Azerbaijan",1990,"Europe & Central Asia","Upper middle income",5502.42618208218,7159000,25.9,32.3
"AZE","Azerbaijan",1991,"Europe & Central Asia","Upper middle income",5558.82254383483,7271000,26.6,32.3
"AZE","Azerbaijan",1992,"Europe & Central Asia","Upper middle income",4334.43328382274,7382000,25.2,32.4
"AZE","Azerbaijan",1993,"Europe & Central Asia","Upper middle income",3361.03306933272,7495000,23.7,32.5
"AZE","Azerbaijan",1994,"Europe & Central Asia","Upper middle income",2719.33792430653,7597000,21.4,32.4
"AZE","Azerbaijan",1995,"Europe & Central Asia","Upper middle income",2420.44356801626,7685000,18.9,32.2
