"FACID","NAME","TYPE","LTC","CAPACITY","ADDRESS","CITY","ZIP","FACADMIN","CONTACT_EMAIL","CONTACT_FAX","CONTACT_PHONE_NUMBER","COUNTY_NAME","COUNTY_CODE","DISTRICT_NUMBER","DISTRICT_NAME","LICENSE_NUMBER","INITIAL_LICENSE_DATE","LICENSE_EFFECTIVE_DATE","OSHPD_NUMBER","LATITUDE","LONGITUDE","LOCATION"
140000138,"CREEKSIDE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",80,"1900 CHURCH LANE","SAN PABLO",94806,"Rotich, Janet","","(510) 235-6760","(510) 235-5514",60,"CONTRA COSTA",2,"EAST BAY",140000547,"01Apr1997","01Apr2015","206070932",37.9568061829,-122.340675354,""
140000195,"CONTRA COSTA REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",124,"2500 ALHAMBRA AVENUE","MARTINEZ",94553,"Roth, Anna M","larry.carlson@hsd.cccounty.us","(925) 370-5138","(925) 370-5100",60,"CONTRA COSTA",2,"EAST BAY",140000090,"","03Feb2015","106070924",38.0065460205,-122.1331176758,""
140000203,"ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS","GENERAL ACUTE CARE HOSPITAL","Non-LTC",101,"3100 SUMMIT STREET","OAKLAND",94609,"Prosper, Charles J","colinh@sutterhealth.org","(510) 869-6198","(510) 835-4500",0,"ALAMEDA",2,"EAST BAY",140000284,"01Jul2002","26Jan2015","106013626",37.8199008107,-122.2643586248,""
140000425,"ALTA BATES SUMMIT MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",403,"350 HAWTHORNE AVENUE","OAKLAND",94609,"Prosper, Charles J","colinh@sutterhealth.org","(510) 869-6198","(510) 655-4000",0,"ALAMEDA",2,"EAST BAY",140000284,"01Jul2002","26Jan2015","106010937",37.820809409,-122.2630805522,""
140000564,"DIAMOND RIDGE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",120,"2351 LOVERIDGE ROAD","PITTSBURG",94565,"Moya Jr., Antonio","","(925) 427-1255","(925) 427-4444",60,"CONTRA COSTA",2,"EAST BAY",140000546,"06May2003","01Nov2014","206074002",38.0054626465,-121.870010376,""
140001126,"MANORCARE HEALTH SERVICES-TICE VALLEY","SKILLED NURSING FACILITY","LTC",120,"1975 TICE VALLEY BOULEVARD","WALNUT CREEK",94595,"Hogan, Rodger","381-admin@hcr-manorcare.com","(925) 906-0201","(925) 906-0200",60,"CONTRA COSTA",2,"EAST BAY",140000554,"16Jun1997","01Apr2015","206074076",37.876750946,-122.0741729736,""
970000194,"BRIGHTON CONVALESCENT CENTER","SKILLED NURSING FACILITY","LTC",99,"1836 N FAIR OAKS AVE","PASADENA",91103,"Barrett, Robert","none@dhs.ca.gov","(626) 794-2964","(626) 798-9125",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000092,"21Jun1965","22Aug2014","206190713",34.17734,-118.150709,"(34.17734, -118.150709)"
970000180,"MONTE VISTA GROVE HOMES","SKILLED NURSING FACILITY","LTC",40,"2889 SAN PASQUAL ST","PASADENA",91107,"Herbert, Deborah","mhbaatz@mvgh.org","(626) 449-7848","(626) 792-2712",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000086,"28Aug1968","30Nov2014","206190544",34.137906,-118.091295,"(34.137906, -118.091295)"
970000174,"SERENITY CARE OF PASADENA","SKILLED NURSING FACILITY","LTC",49,"1515 N FAIR OAKS AVE","PASADENA",91103,"PELLICER, RAYMOND","slchvoch@hotmail.com","(626) 345-1901","(626) 798-1111",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000083,"24Aug1959","01Apr2015","206190389",34.172046,-118.150732,"(34.172046, -118.150732)"
970000171,"GOLDEN CROSS HEALTH CARE","SKILLED NURSING FACILITY","LTC",96,"1450 N FAIR OAKS AVE","PASADENA",91103,"Arevalo, Jose","joe@mzrsystems.com","(626) 791-9282","(626) 791-1948",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000082,"08Apr1966","13Jan2015","206190333",34.170766,-118.150659,"(34.170766, -118.150659)"
970000156,"HOLLENBECK PALMS","SKILLED NURSING FACILITY","LTC",106,"573 S BOYLE AVE","LOS ANGELES",90033,"Shockley, Morris","mshockley@holpalms.com","(323) 268-8610","(323) 263-6195",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000076,"","31May2015","206190378",34.039926,-118.219865,"(34.039926, -118.219865)"
970000145,"OLYMPIA CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",135,"1100 S ALVARADO ST","LOS ANGELES",90006,"Schwartz, Otto","oschwartz@gshci.com","(213) 487-1909","(213) 487-3000",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000072,"29Oct1971","09May2015","206190577",34.050034,-118.280882,"(34.050034, -118.280882)"
970000143,"MID-WILSHIRE HEALTH CARE CENTER","SKILLED NURSING FACILITY","LTC",80,"676 S BONNIE BRAE ST","LOS ANGELES",90057,"JONES, ALFRED H","samuelcpark@gmail.com","(213) 483-3606","(213) 483-9921",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000071,"11Feb1970","19Nov2014","206190533",34.056105,-118.274065,"(34.056105, -118.274065)"
970000135,"UNIVERSITY PARK HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",88,"230 E ADAMS BLVD","LOS ANGELES",90011,"Mackay, James","licensing@countryvillahealth.com","(323) 596-2240","(213) 748-0491",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000067,"24Jun1970","27Jan2015","206190208",34.023889,-118.266585,"(34.023889, -118.266585)"
970000125,"BONNIE BRAE CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",59,"420 S BONNIE BRAE ST","LOS ANGELES",90057,"Cayton, Michelle","mcayton@gmail.com","(213) 483-8141","(213) 483-8144",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000062,"03Sep1960","01Nov2014","206190102",34.060329,-118.271166,"(34.060329, -118.271166)"
970000123,"ANGELS NURSING HEALTH CENTER","SKILLED NURSING FACILITY","LTC",49,"415 S UNION AVE","LOS ANGELES",90017,"Karp, Benjamin M","sfancy1@msn.com","(213) 484-1003","(213) 484-0784",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000061,"01Aug2003","01Nov2014","206190032",34.059354,-118.268588,"(34.059354, -118.268588)"
970000115,"HUNTINGTON HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",99,"4515 HUNTINGTON DR S","LOS ANGELES",90032,"Gordo, Jazelle","none@dhs.ca.gov","(323) 225-6685","(323) 225-5991",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000057,"","12Nov2014","206190269",34.084064,-118.188197,"(34.084064, -118.188197)"
970000103,"VIRGIL REHABILITATION AND SKILLED NURSING CENTER","SKILLED NURSING FACILITY","LTC",124,"975 N VIRGIL AVE","LOS ANGELES",90029,"Ninonuevo, Jecery","mendeld@hotmail.com","(323) 665-2683","(323) 665-5793",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000051,"","08Nov2014","206190832",34.089434,-118.286926,"(34.089434, -118.286926)"
970000081,"LEISURE GLEN POST ACUTE CARE CENTER","SKILLED NURSING FACILITY","LTC",125,"330 MISSION RD","GLENDALE",91205,"Kostka, Brittany L","ywise@hmscal.com","(818) 247-1776","(818) 247-4476",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000040,"15Nov1966","05May2015","206190022",34.126709,-118.251255,"(34.126709, -118.251255)"
970000077,"MISSION GROVE HEALTHCARE & WELLNESS CENTRE","SKILLED NURSING FACILITY","LTC",156,"904 MISSION ST","SOUTH PASADENA",91030,"Pena, Hugo","southpas2000@yahoo.com","(626) 799-8763","(626) 799-9571",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000038,"23May1968","07Dec2014","206190738",34.11577,-118.158101,"(34.11577, -118.158101)"
970000075,"PASADENA MEADOWS NURSING CENTER","SKILLED NURSING FACILITY","LTC",130,"150 BELLEFONTAINE ST","PASADENA",91105,"Weaver, David","emolnar@marlinda.org","(626) 796-0655","(626) 796-1103",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000037,"27Jun1969","30Apr2015","206190505",34.131557,-118.153436,"(34.131557, -118.153436)"
970000068,"GEM TRANSITIONAL CARE CENTER","SKILLED NURSING FACILITY","LTC",75,"716 S FAIR OAKS AVE","PASADENA",91105,"Agoncillo, Jose","None@dph.gov","(626) 737-0562","(626) 737-0560",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000034,"02Oct1964","01Jan2015","206190207",34.117279,-118.15029,"(34.117279, -118.15029)"
970000046,"SUNRAY HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",99,"3210 W PICO BLVD","LOS ANGELES",90019,"WINTNER, DANIEL","vdesai@chms.us","(323) 734-1825","(323) 734-2171",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000023,"28Nov1967","12Nov2014","206190773",34.047155,-118.31215,"(34.047155, -118.31215)"
970000039,"SERRANO NORTH CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",99,"5401 FOUNTAIN AVE","LOS ANGELES",90029,"Cayabyab, Juhn","none@dha.ca.gov","(323) 465-3703","(323) 465-2106",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000020,"14Apr1969","11Nov2014","206190697",34.094995,-118.307272,"(34.094995, -118.307272)"
970000021,"THE REHABILITATION CENTER ON LA BREA","SKILLED NURSING FACILITY","LTC",141,"505 N LA BREA AVE","LOS ANGELES",90036,"CRUZ, JULIO","aaronrobin@skilledhealthcare.com","(323) 937-2807","(323) 937-4860",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000011,"01Jun1970","15Apr2015","206190361",34.080393,-118.344081,"(34.080393, -118.344081)"
960001457,"EL ENCANTO HEALTHCARE AND HABILITATION CENTER","SKILLED NURSING FACILITY","LTC",155,"555 EL ENCANTO RD","CITY OF INDUSTRY",91745,"Calvo, Kenneth","KENC@ELENCANTOHEALTHCARE.COM","(626) 330-2789","(626) 336-1274",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",960000747,"","30Apr2015","206190266",34.021028,-117.963891,"(34.021028, -117.963891)"
950000279,"SANTA TERESITA MANOR","SKILLED NURSING FACILITY","LTC",99,"819 BUENA VISTA ST","DUARTE",91010,"Thompson, Tiana","administration@santa_teresita.org","(626) 932-3410","(626) 932-3495",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000125,"01Jul2004","01Nov2014","206196551",34.143029,-117.977587,"(34.143029, -117.977587)"
950000277,"BROOKDALE SAN DIMAS","SKILLED NURSING FACILITY","LTC",45,"1740 S SAN DIMAS AVE","SAN DIMAS",91773,"Kneedy-Cayem, Kara","sandimas.ed@sunriseseniorliving.com","(909) 394-0903","(909) 394-0304",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000124,"12Mar1999","05Feb2015","206196063",34.078808,-117.817623,"(34.078808, -117.817623)"
950000256,"KINDRED TRANSITIONAL CARE AND REHABILITATION-FOOTHILL","SKILLED NURSING FACILITY","LTC",120,"401 W ADA AVE","GLENDORA",91741,"Estrada, Shelly","mariannej.schultz@kindredhealthcare.com","(626) 963-0720","(626) 335-9810",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000120,"27Mar1990","26Mar2015","206194139",34.132437,-117.86956,"(34.132437, -117.86956)"
950000107,"TEMPLE CITY HEALTHCARE","SKILLED NURSING FACILITY","LTC",59,"5101 TYLER AVE","TEMPLE CITY",91780,"Jen Kin, Eden A","tcconv@earthlink.net","(626) 443-1988","(626) 443-3028",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000101,"11Jun1957","20Sep2014","206190783",34.098289,-118.025486,"(34.098289, -118.025486)"
950000105,"SUNSET MANOR CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",81,"2720 NEVADA AVE","EL MONTE",91733,"Patel, Romyn","admin.ss@mpowercom.net","(626) 443-1624","(626) 443-9425",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000099,"12Sep1962","30Apr2015","206190776",34.061091,-118.036783,"(34.061091, -118.036783)"
950000104,"ROYAL GARDEN EXTENDED CARE HOSPITAL","SKILLED NURSING FACILITY","LTC",43,"2339 W VALLEY BLVD","ALHAMBRA",91803,"Yu, Armando","nonavail@ble.com","(626) 289-6475","(626) 289-7809",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000104,"","13May2015","206190809",34.077068,-118.14941,"(34.077068, -118.14941)"
950000103,"ALLIANCE NURSING AND REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",139,"3825 DURFEE AVE","EL MONTE",91732,"Davis, Gregory S","alliance3825@aol.com","(626) 444-1548","(626) 444-2535",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000068,"01Jan1971","15Dec2014","206190507",34.070848,-118.007895,"(34.070848, -118.007895)"
950000101,"ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP","SKILLED NURSING FACILITY","LTC",97,"415 S GARFIELD AVE","ALHAMBRA",91801,"Bartolome, Rhea","","(626) 281-4923","(626) 282-3151",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000008,"30Apr1960","24Sep2014","206190018",34.09958,-118.129987,"(34.09958, -118.129987)"
950000088,"CLARA BALDWIN STOCKER HOME","SKILLED NURSING FACILITY","LTC",48,"527 S VALINDA AVE","WEST COVINA",91790,"Laura, Qualls","cbssnf@hotmail.com","(626) 962-7102","(626) 962-7151",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000004,"06Nov1963","01Dec2014","206190765",34.065173,-117.925398,"(34.065173, -117.925398)"
950000085,"SANTA ANITA CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",391,"5522 GRACEWOOD AVE.","TEMPLE CITY",91780,"Friedman, Bernard","Bfriedman@gshci.com","(626) 579-0680","(626) 579-0310",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000093,"01Jan1946","09Jun2015","206190682",34.102341,-118.045631,"(34.102341, -118.045631)"
950000084,"PILGRIM PLACE HEALTH SERVICES CENTER","SKILLED NURSING FACILITY","LTC",62,"721 HARRISON AVE","CLAREMONT",91711,"Fairley, Sue","mporter@pilgrimplace.org","(909) 399-5556","(909) 399-5500",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000084,"23Aug1951","30Nov2014","206190617",34.098643,-117.726676,"(34.098643, -117.726676)"
950000081,"PARK AVENUE HEALTHCARE & WELLNESS CENTER","SKILLED NURSING FACILITY","LTC",231,"1550 N PARK AVE","POMONA",91768,"Levy, David","jsk46@aol.com","(909) 620-4891","(909) 623-0791",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000113,"14Sep1959","29Nov2014","206190427",34.074371,-117.754881,"(34.074371, -117.754881)"
950000079,"INLAND VALLEY CARE AND REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",241,"250 W ARTESIA ST","POMONA",91768,"Chase, Phillip L","inlandvalley@linkline.com","(909) 620-7787","(909) 623-7100",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000023,"01Jan1973","01Nov2014","206190173",34.077403,-117.754439,"(34.077403, -117.754439)"
950000078,"MOUNT SAN ANTONIO GARDENS","SKILLED NURSING FACILITY","LTC",84,"900 E HARRISON AVE","POMONA",91767,"Medak, Riki","dpearce@the_gardens.org","(909) 624-3701","(909) 624-5061",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000078,"17Nov1961","01Dec2014","206190553",34.098761,-117.73436,"(34.098761, -117.73436)"
950000077,"VICTORIA CARE CENTER","SKILLED NURSING FACILITY","LTC",49,"3541 PUENTE AVE","BALDWIN PARK",91706,"Christian, Canny","nonavail@ble.com","(626) 337-2142","(626) 962-1043",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000077,"27Nov1963","30Nov2014","206190550",34.07773,-117.954084,"(34.07773, -117.954084)"
950000076,"MONTEREY HEALTHCARE & WELLNESS CENTRE, LP","SKILLED NURSING FACILITY","LTC",96,"1267 SAN GABRIEL BLVD.","ROSEMEAD",91770,"Washington, Alexis","","(626) 280-1896","(626) 280-3220",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",950000076,"01Jul1983","30Dec2014","206190548",34.043518,-118.088317,"(34.043518, -118.088317)"
