"iso2c","iso3c","country","year","gdp_percap","population","birth_rate","neonat_mortal_rate","region","income"
"AF","AFG","Afghanistan",2010,1637.3779870888,29185507,39.829,47.5,"South Asia","Low income"
"AF","AFG","Afghanistan",2011,1626.76479325583,30117413,38.75,46,"South Asia","Low income"
"AF","AFG","Afghanistan",1999,,20170844,48.419,62.3,"South Asia","Low income"
"AF","AFG","Afghanistan",2000,,20779953,48.021,61,"South Asia","Low income"
"AF","AFG","Afghanistan",2001,,21606988,47.505,59.8,"South Asia","Low income"
"AF","AFG","Afghanistan",2002,839.485886052574,22600770,46.901,58.6,"South Asia","Low income"
"AF","AFG","Afghanistan",2003,888.153370010523,23680871,46.231,57.3,"South Asia","Low income"
"AF","AFG","Afghanistan",2017,1934.63675412035,36296400,33.211,38.1,"South Asia","Low income"
"AF","AFG","Afghanistan",1990,,12412308,48.88,74.7,"South Asia","Low income"
"AF","AFG","Afghanistan",2015,1886.69297690361,34413603,34.809,40.5,"South Asia","Low income"
"AF","AFG","Afghanistan",2016,1896.99251957482,35383128,33.981,39.3,"South Asia","Low income"
"AG","ATG","Antigua and Barbuda",1991,11818.6779036961,63367,18.776,14.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1990,11338.6407016373,62528,18.659,15.1,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1995,12937.9773329936,68670,19.555,11.4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1992,12018.6408172753,64471,18.938,13.5,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1993,12695.8423771383,65777,19.132,12.8,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1994,13538.9249765173,67204,19.344,12.1,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2012,20779.8250306909,90409,16.272,4.6,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1996,13744.2283900455,70173,19.741,10.9,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2010,20237.6727687085,88028,16.547,5.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2011,19953.1927712162,89253,16.396,4.9,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2003,17077.1170913092,79300,18.977,8.1,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2004,18303.7390629645,80336,18.566,7.7,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2005,19805.8196774079,81465,18.137,7.4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2006,22657.8567055312,82704,17.72,7,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2007,25020.9018986913,84026,17.341,6.5,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2008,25090.5187396092,85397,17.014,6.1,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2009,21875.2347891364,86746,16.749,5.7,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2014,22000.7502830601,92562,16.026,4.1,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2015,22882.9702199058,93566,15.883,3.9,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1997,14431.3091154593,71704,19.879,10.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2013,20867.0284600856,91516,16.152,4.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1998,14966.9388480447,73224,19.95,9.9,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1999,15440.251127473,74674,19.943,9.4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2016,24177.9597202438,94527,15.717,3.7,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2017,25145.5412294362,95426,15.53,3.6,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2002,16011.033633228,78295,19.339,8.4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2000,16544.4062710548,76016,19.84,9.1,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2001,15820.7787282029,77212,19.635,8.7,"Latin America & Caribbean","High income"
"AL","ALB","Albania",1998,3021.01473768125,3128530,18.238,12,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1997,2717.36212449434,3148281,19.173,12.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1991,1909.11403844065,3266790,24.245,12.3,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1992,1823.3076726019,3247039,23.529,12.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1993,2057.44965660515,3227287,22.742,12.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1990,2549.47302184864,3286542,24.867,12.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1995,2665.76490612085,3187784,21.02,12.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1996,2980.06628849811,3168033,20.106,12.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1999,3471.65259162591,3108778,17.321,11.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1994,2289.87313528701,3207536,21.902,12.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2004,5422.7784619431,3026939,13.381,9.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2005,5865.30619612569,3011487,12.821,8.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2006,6559.78325677995,2992547,12.398,8.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2007,7276.30296869082,2970017,12.118,7.3,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2008,8228.37393434179,2947314,11.973,6.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2009,8814.79960576386,2927519,11.945,6.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2010,9628.01801665153,2913021,12.001,5.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2002,4661.37155341076,3051010,14.79,10.7,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2011,10207.751719347,2905195,12.1,5.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2000,3861.334172426,3089027,16.436,11.5,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2001,4301.35279874992,3060173,15.59,11.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2013,10571.0133906469,2895092,12.257,5.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2003,4994.51880731917,3039616,14.048,10.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2017,12930.1372840019,2873457,11.934,6.4,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2012,10526.2356037242,2900401,12.197,5.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2014,11259.2288794822,2889104,12.259,5.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2015,11662.0343838096,2880703,12.197,6.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2016,11868.1779203019,2876101,12.08,6.2,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2010,6565.67866042888,2877319,15.304,9.7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1991,2237.75272824856,3505258,20.764,22.3,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1992,1356.21078599999,3442817,19.627,21.8,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1993,1296.17849767974,3363108,18.41,21.3,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1990,2428.55895976794,3538171,21.768,22.7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1995,1591.89484571486,3217348,15.991,20,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1996,1742.73411429696,3168221,14.947,19.4,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2011,7019.76774846004,2876538,15.297,9.2,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1994,1429.1023861665,3283667,17.172,20.7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2003,3539.6302673497,3017932,13.524,13.8,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2004,4038.45507488035,3000720,13.884,13.2,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2005,4772.59004736714,2981269,14.244,12.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2006,5609.16896953362,2958307,14.572,11.9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2007,6609.17182383653,2932618,14.855,11.4,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2008,7264.56119514098,2907618,15.08,10.8,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2009,6326.65796858965,2888092,15.233,10.3,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1997,1852.20010204092,3133089,14.092,18.6,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1998,2025.55542011483,3108687,13.457,17.7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1999,2136.12159826213,3089022,13.062,16.9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2000,2327.3625215133,3069591,12.91,16.1,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2001,2621.85436449287,3050687,12.98,15.3,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2002,3031.1218818666,3033978,13.208,14.6,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2014,8405.07365471786,2912403,14.979,7.9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2015,8727.38544723722,2925553,14.795,7.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2016,8808.57271425944,2936146,14.568,7.2,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2017,9620.81849100036,2944809,14.298,6.8,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2013,8003.0877626689,2897584,15.125,8.3,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2012,7649.06153123358,2884229,15.232,8.8,"Europe & Central Asia","Upper middle income"
"AO","AGO","Angola",1991,3120.356148207,12248901,50.168,53.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1992,2908.16079788943,12657366,49.919,53.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1990,3089.68336938602,11848386,50.383,53.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2008,6221.42337306937,21695634,46.563,39.1,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2009,6092.78324495025,22514281,46.143,37.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2006,5048.87644916017,20149901,47.215,42.1,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2007,5697.25132784013,20905363,46.92,40.6,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1999,3037.72117508021,15866869,48.293,51.5,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2000,3097.30729226514,16395473,48.15,50.5,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2001,3191.26632340714,16945753,48.027,49.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2002,3564.0960260637,17519417,47.911,48.2,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2003,3614.60727757145,18121479,47.786,46.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2004,3978.69719450811,18758145,47.639,45.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2005,4555.18584238934,19433602,47.453,43.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2010,6230.29702794539,23356246,45.656,36.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1993,2190.76815959398,13075049,49.652,53.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1994,2195.53228855789,13503747,49.378,53.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1995,2496.19949344602,13945206,49.113,53.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2014,7199.24547788095,26941779,43.182,31.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2011,6346.39512245023,24220661,45.102,35,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2012,6772.528333315,25107931,44.493,33.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2013,6980.42303770718,26015780,43.847,32.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2015,7096.60061495221,27884381,42.52,30.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2016,6756.93507436951,28842484,41.882,29.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2017,6650.58493984778,29816748,41.281,29.2,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1996,2794.89690618184,14400719,48.87,53.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1997,2953.34270861131,14871570,48.652,53,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1998,3027.34179532139,15359601,48.46,52.4,"Sub-Saharan Africa","Lower middle income"
"AR","ARG","Argentina",1992,8942.56985338672,33529326,21.802,14.6,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1990,7380.11503126293,32618651,22.226,15,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1995,10225.1187126326,34828170,20.881,13.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1991,8210.6434322406,33079000,22.036,14.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1993,9777.21400455893,33970111,21.526,14.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1994,10435.9107722067,34402672,21.214,14.1,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1998,12255.6762581191,36063459,19.945,11,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1999,11878.7311737753,36467218,19.702,10.9,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2000,11916.5826090011,36870787,19.499,11,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2001,11514.6191069309,37275652,19.328,11,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2002,10310.1291162543,37681749,19.175,10.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2003,11307.7579845085,38087868,19.026,10.3,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2004,12527.8004963472,38491972,18.879,9.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1996,10857.429668462,35246374,20.545,12.6,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1997,11802.842587708,35657429,20.229,11.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2005,13916.5305135208,38892931,18.735,9.2,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2006,15334.9368605184,39289878,18.596,8.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2014,20008.3206437752,42669500,17.698,7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2015,20551.8331920467,43131966,17.548,6.6,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2012,19764.2250139108,41733271,17.949,7.4,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2013,20365.6133493801,42202935,17.831,7.3,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2010,18524.856756023,40788453,18.154,7.6,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2007,16994.6959838827,39684295,18.469,8.4,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2016,20130.4080257871,43590368,17.383,6.4,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2017,20843.1550677175,44044811,17.205,6.4,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2011,19817.4504765479,41261490,18.055,7.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2008,17850.130189637,40080160,18.355,8.1,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2009,16753.3948879075,40482788,18.252,7.8,"Latin America & Caribbean","High income"
"AS","ASM","American Samoa",2006,,59107,21.6,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1990,,47347,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2007,,58365,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1992,,49896,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2008,,57492,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2009,,56683,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1991,,48685,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2000,,57821,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2001,,58494,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2002,,59080,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2003,,59504,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2004,,59681,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2005,,59562,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1993,,51020,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1994,,52095,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1995,,53161,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1996,,54211,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1997,,55221,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1998,,56171,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1999,,57053,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2014,,55791,17.5,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2015,,55812,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2016,,55741,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2017,,55620,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2013,,55713,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2010,,56079,18.7,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2011,,55759,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2012,,55667,,,"East Asia & Pacific","Upper middle income"
"AT","AUT","Austria",1990,19442.312042665,7677850,11.8,4.6,"Europe & Central Asia","High income"
"AT","AUT","Austria",1991,20585.0193104127,7754891,12.2,4.4,"Europe & Central Asia","High income"
"AT","AUT","Austria",2005,35013.7140443423,8227829,9.5,2.8,"Europe & Central Asia","High income"
"AT","AUT","Austria",2006,37623.0757580996,8268641,9.4,2.8,"Europe & Central Asia","High income"
"AT","AUT","Austria",2007,39392.5405883999,8295487,9.2,2.7,"Europe & Central Asia","High income"
"AT","AUT","Austria",1999,27606.4830303088,7992324,9.8,3.1,"Europe & Central Asia","High income"
"AT","AUT","Austria",2000,29380.0660424793,8011566,9.8,3.1,"Europe & Central Asia","High income"
"AT","AUT","Austria",2001,29715.2222181289,8042293,9.4,3.1,"Europe & Central Asia","High income"
"AT","AUT","Austria",2002,31178.6933297272,8081957,9.7,3,"Europe & Central Asia","High income"
"AT","AUT","Austria",2003,32108.632547686,8121423,9.5,3,"Europe & Central Asia","High income"
"AT","AUT","Austria",2004,33743.0447084692,8171966,9.7,2.9,"Europe & Central Asia","High income"
"AT","AUT","Austria",2009,40926.5237645676,8343323,9.2,2.6,"Europe & Central Asia","High income"
"AT","AUT","Austria",1992,21259.6367506188,7840709,12.2,4.2,"Europe & Central Asia","High income"
"AT","AUT","Austria",1993,21698.3076736738,7905633,12,4,"Europe & Central Asia","High income"
"AT","AUT","Austria",2008,41316.225176699,8321496,9.3,2.6,"Europe & Central Asia","High income"
"AT","AUT","Austria",2013,47922.0491207455,8479823,9.4,2.3,"Europe & Central Asia","High income"
"AT","AUT","Austria",2010,42006.0468807427,8363404,9.4,2.5,"Europe & Central Asia","High income"
"AT","AUT","Austria",2011,44452.7327457999,8391643,9.3,2.4,"Europe & Central Asia","High income"
"AT","AUT","Austria",2012,46457.3457770311,8429991,9.4,2.4,"Europe & Central Asia","High income"
"AT","AUT","Austria",2017,53879.2978545168,8797566,10,2.1,"Europe & Central Asia","High income"
"AT","AUT","Austria",2014,48799.7154676985,8546356,9.6,2.3,"Europe & Central Asia","High income"
"AT","AUT","Austria",2015,49877.7133112879,8642699,9.8,2.2,"Europe & Central Asia","High income"
