country,iso3c,gdp_percap
Portugal,PRT,30658.6319953306
Palau,PLW,16305.4853404537
Paraguay,PRY,9567.33912817663
Qatar,QAT,127480.482510991
Romania,ROU,23027.2892643944
Serbia,SRB,14514.9605530466
Russian Federation,RUS,24788.6792791217
Rwanda,RWA,1912.9011820632
Saudi Arabia,SAU,54416.6124931905
Solomon Islands,SLB,2235.31469050173
Seychelles,SYC,28383.8962133253
Sudan,SDN,4730.46186883399
Sweden,SWE,48904.5543707155
Singapore,SGP,87832.5865142232
Slovenia,SVN,32723.0719537641
Slovak Republic,SVK,30460.3840810744
Sierra Leone,SLE,1476.21371968625
San Marino,SMR,60932.9300372192
Senegal,SEN,2566.11917856156
Somalia,SOM,
Suriname,SUR,14966.7137949048
South Sudan,SSD,
Sao Tome and Principe,STP,3237.39254359531
El Salvador,SLV,8616.81241755459
Sint Maarten (Dutch part),SXM,
Syrian Arab Republic,SYR,
Swaziland,SWZ,8329.5605814920309
Turks and Caicos Islands,TCA,
Chad,TCD,1990.72665730873
Togo,TGO,1490.53623573436
Thailand,THA,16913.366075262
Tajikistan,TJK,2979.31023901638
Timor-Leste,TLS,2140.35737389394
Turkmenistan,TKM,16875.9877489048
Tunisia,TUN,11595.5123792095
Tonga,TON,5745.19122926423
Turkey,TUR,25247.2017504961
Trinidad and Tobago,TTO,32854.7190584554
Tuvalu,TUV,3651.0214840375
Tanzania,TZA,2786.27224269776
Ukraine,UKR,8269.61463354542
Uganda,UGA,1819.43435088204
United States,USA,57638.1590879883
Uruguay,URY,21619.6079337521
Uzbekistan,UZB,6512.68213066736
St. Vincent and the Grenadines,VCT,11456.7899522437
"Venezuela, RB",VEN,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6295.59058534397
Vanuatu,VUT,3080.56575433637
Samoa,WSM,6378.2565669184
"Yemen, Rep.",YEM,2507.47166249081
South Africa,ZAF,13196.8112269648
Zambia,ZMB,3933.0664604428
Zimbabwe,ZWE,2027.08491653006
