"iso2c","iso3c","country","year","gdp_percap","life_expect","population","birth_rate","neonat_mortal_rate","region","income"
"AE","ARE","United Arab Emirates",1997,80390.0641128511,73.473,2671362,18.385,6.5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1994,72471.6872850679,72.674,2294385,21.26,7.2,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1999,76654.2559064146,73.987,2966034,17.014,6,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2000,82215.3144683902,74.239,3134062,16.465,5.9,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2002,79863.4897328465,74.73,3478777,15.5,5.5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1998,77421.1086604052,73.732,2813214,17.648,6.2,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1990,72906.5201192638,71.541,1828432,25.963,8.4,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1991,71753.7295623605,71.837,1937153,24.806,8.1,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1992,71567.8275246238,72.122,2052891,23.609,7.8,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1993,70082.3893272536,72.401,2173139,22.414,7.5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2006,79970.736249785,75.632,5300174,13.507,4.9,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2007,72802.1616025434,75.828,6168838,13,4.7,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2008,66641.4842825541,76.012,7089487,12.521,4.6,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2009,56975.5293798538,76.183,7917372,12.073,4.5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2010,54230.1736734082,76.344,8549988,11.656,4.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2011,56574.2881750551,76.498,8946777,11.265,4.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2012,58961.2020109326,76.648,9141596,10.895,4.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2004,85147.2190945696,75.2,4068570,14.533,5.2,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2013,62641.836986401,76.798,9197910,10.54,4.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2014,66516.8822549128,76.948,9214175,10.202,4.4,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2003,82946.3352078161,74.968,3711932,15.024,5.4,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2015,70261.5350220449,77.101,9262900,9.885,4.5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2005,81635.4679747818,75.422,4588225,14.024,5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2017,73355.8769793479,77.412,9487203,9.328,4.7,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2016,72386.0904689447,77.256,9360980,9.592,4.7,"Middle East & North Africa","High income"
"AF","AFG","Afghanistan",1992,,51.331,14485546,48.879,70.6,"South Asia","Low income"
"AF","AFG","Afghanistan",2012,1806.76392975325,62.086,31161376,36.863,45.3,"South Asia","Low income"
"AF","AFG","Afghanistan",1991,,50.627,13299017,48.945,72,"South Asia","Low income"
"AF","AFG","Afghanistan",1996,,53.533,18853437,49.072,65.1,"South Asia","Low income"
"AF","AFG","Afghanistan",1993,,51.968,15816603,48.882,69.1,"South Asia","Low income"
"AF","AFG","Afghanistan",1994,,52.539,17075727,48.937,67.7,"South Asia","Low income"
"AF","AFG","Afghanistan",1995,,53.055,18110657,49.014,66.4,"South Asia","Low income"
"AF","AFG","Afghanistan",2014,1897.52593759521,62.895,33370794,34.836,42.7,"South Asia","Low income"
"AF","AFG","Afghanistan",1997,,53.997,19357126,49.067,64,"South Asia","Low income"
"AF","AFG","Afghanistan",1998,,54.468,19737765,48.96,62.9,"South Asia","Low income"
"AF","AFG","Afghanistan",2013,1874.7656344942,62.494,32269589,35.797,44,"South Asia","Low income"
"AF","AFG","Afghanistan",2004,885.840818978255,57.875,24726684,45.778,56.3,"South Asia","Low income"
"AF","AFG","Afghanistan",2005,979.2739786155,58.5,25654277,44.91,55,"South Asia","Low income"
"AF","AFG","Afghanistan",2006,1031.64313483579,59.11,26433049,43.937,53.7,"South Asia","Low income"
"AF","AFG","Afghanistan",2007,1176.12635744176,59.694,27100536,42.86,52.3,"South Asia","Low income"
"AF","AFG","Afghanistan",2008,1218.11821481256,60.243,27722276,41.697,50.9,"South Asia","Low income"
"AF","AFG","Afghanistan",2009,1454.66301483469,60.754,28394813,40.474,49.5,"South Asia","Low income"
"AF","AFG","Afghanistan",2010,1637.3779870888,61.226,29185507,39.232,48.1,"South Asia","Low income"
"AF","AFG","Afghanistan",2011,1626.76479325583,61.666,30117413,38.016,46.7,"South Asia","Low income"
"AF","AFG","Afghanistan",1999,,54.959,20170844,48.728,61.9,"South Asia","Low income"
"AF","AFG","Afghanistan",2000,,55.482,20779953,48.36,60.8,"South Asia","Low income"
"AF","AFG","Afghanistan",2001,,56.044,21606988,47.86,59.8,"South Asia","Low income"
"AF","AFG","Afghanistan",2002,839.485886052574,56.637,22600770,47.252,58.7,"South Asia","Low income"
"AF","AFG","Afghanistan",2003,888.153370010523,57.25,23680871,46.556,57.5,"South Asia","Low income"
"AF","AFG","Afghanistan",2017,1934.63675412035,64.047,36296400,32.507,39.2,"South Asia","Low income"
"AF","AFG","Afghanistan",1990,,49.856,12412308,49.08,73.5,"South Asia","Low income"
"AF","AFG","Afghanistan",2015,1886.69297690361,63.288,34413603,33.98,41.5,"South Asia","Low income"
"AF","AFG","Afghanistan",2016,1896.99251957482,63.673,35383128,33.214,40.3,"South Asia","Low income"
"AG","ATG","Antigua and Barbuda",1991,11818.6779036961,71.567,63367,19.257,13.6,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1990,11338.6407016373,71.351,62528,19.333,14.4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1995,12937.9773329936,72.44,68670,19.972,10.9,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1992,12018.6408172753,71.783,64471,19.292,12.8,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1993,12695.8423771383,71.999,65777,19.438,12.1,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1994,13538.9249765173,72.218,67204,19.676,11.5,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2012,20779.8250306909,75.733,90409,16.867,4.8,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1996,13744.2283900455,72.663,70173,20.274,10.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2010,20237.6727687085,75.412,88028,17.308,5.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2011,19953.1927712162,75.574,89253,17.071,5,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2003,17077.1170913092,74.158,79300,19.813,7.7,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2004,18303.7390629645,74.354,80336,19.429,7.4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2005,19805.8196774079,74.544,81465,19.032,7,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2006,22657.8567055312,74.727,82704,18.639,6.7,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2007,25020.9018986913,74.905,84026,18.26,6.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2008,25090.5187396092,75.078,85397,17.906,5.9,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2009,21875.2347891364,75.247,86746,17.586,5.6,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2014,22000.7502830601,76.05,92562,16.519,4.3,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2015,22882.9702199058,76.207,93566,16.367,4.2,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1997,14431.3091154593,72.887,71704,20.528,9.8,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2013,20867.0284600856,75.892,91516,16.684,4.6,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1998,14966.9388480447,73.108,73224,20.691,9.4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1999,15440.251127473,73.327,74674,20.739,9,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2016,24177.9597202438,76.364,94527,16.225,4,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2017,25145.5412294362,76.519,95426,16.089,3.8,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2002,16011.033633228,73.957,78295,20.162,8,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2000,16544.4062710548,73.541,76016,20.659,8.6,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",2001,15820.7787282029,73.752,77212,20.455,8.3,"Latin America & Caribbean","High income"
"AL","ALB","Albania",1998,3021.01535028998,73.208,3128530,18.212,11.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1997,2717.35307715112,72.838,3148281,19.139,11.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1991,1909.10768212553,71.803,3266790,24.171,12.4,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1992,1823.30160197548,71.802,3247039,23.46,12.3,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1993,2057.44280641281,71.86,3227287,22.68,12.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1990,2549.46453348515,71.836,3286542,24.789,12.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1995,2665.75603056841,72.205,3187784,20.97,12,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1996,2980.05636649239,72.495,3168033,20.064,11.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1999,3471.66205525212,73.588,3108778,17.303,11.3,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1994,2289.86551125044,71.992,3207536,21.845,12.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2004,5422.77462288915,75.028,3026939,13.43,9.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2005,5865.30113774345,75.217,3011487,12.875,8.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2006,6559.73961797079,75.418,2992547,12.441,8.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2007,7276.345441345,75.656,2970017,12.129,7.7,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2008,8228.364871311,75.943,2947314,11.933,7.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2009,8814.83498750607,76.281,2927519,11.837,6.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2010,9628.00354514731,76.652,2913021,11.819,6.4,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2002,4661.40839840812,74.575,3051010,14.809,10.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2011,10207.7535191277,77.031,2905195,11.846,6.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2000,3861.34188839644,73.955,3089027,16.427,11,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2001,4301.32488217764,74.286,3060173,15.594,10.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2013,10571.0074883854,77.702,2895092,11.916,5.7,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2003,4994.52975765573,74.82,3039616,14.082,9.6,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2017,12930.0676756249,78.495,2873457,11.745,6.1,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2012,10526.2553281705,77.389,2900401,11.888,5.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2014,11259.2898237898,77.963,2889104,11.914,5.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2015,11662.0449328188,78.174,2880703,11.879,5.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2016,11868.2115152651,78.345,2876101,11.816,6,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2010,6565.67866042888,73.331,2877319,15.065,9.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1991,2237.75272824856,67.87,3505258,20.764,22.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1992,1356.21078599999,67.99,3442817,19.627,21.9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1993,1296.17849767974,68.218,3363108,18.41,21.3,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1990,2428.55895976794,67.879,3538171,21.768,23,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1995,1591.89484571486,68.938,3217348,15.991,19.9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1996,1742.73411429696,69.404,3168221,14.947,19.1,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2011,7019.76774846004,73.571,2876538,14.928,9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1994,1429.1023861665,68.538,3283667,17.172,20.6,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2003,3539.6302673497,72.347,3017932,13.555,13.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2004,4038.45507488035,72.512,3000720,13.926,12.9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2005,4772.59004736714,72.625,2981269,14.289,12.2,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2006,5609.16896953362,72.715,2958307,14.605,11.6,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2007,6609.17182383653,72.815,2932618,14.855,11.1,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2008,7264.56119514098,72.946,2907618,15.026,10.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2009,6326.65796858965,73.119,2888092,15.099,10,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1997,1852.20010204092,69.912,3133089,14.092,18.2,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1998,2025.55542011483,70.434,3108687,13.457,17.3,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",1999,2136.12159826213,70.944,3089022,13.062,16.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2000,2327.3625215133,71.409,3069591,12.912,15.7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2001,2621.85436449287,71.8,3050687,12.989,14.9,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2002,3031.1218818666,72.112,3033978,13.226,14.2,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2014,8405.07365471786,74.255,2912403,14.141,7.7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2015,8727.38544723722,74.445,2925553,13.808,7.4,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2016,8808.57271425944,74.618,2936146,13.456,7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2017,9620.81849100036,74.782,2944809,13.092,6.7,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2013,8003.0877626689,74.044,2897584,14.446,8.1,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2012,7649.06153123358,73.814,2884229,14.713,8.6,"Europe & Central Asia","Upper middle income"
"AO","AGO","Angola",1991,3120.356148207,41.855,12248901,52.423,54,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1992,2908.16079788943,42.06,12657366,52.047,54,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1990,3089.68336938602,41.696,11848386,52.749,54,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2008,6221.42337306937,56.189,21695634,46.459,39.3,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2009,6092.78324495025,57.231,22514281,45.91,37.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2006,5048.87644916017,53.974,20149901,47.37,42.3,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2007,5697.25132784013,55.096,20905363,46.947,40.8,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1999,3037.72117508021,46.105,15866869,49.322,51.6,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2000,3097.30729226514,47.113,16395473,49.032,50.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2001,3191.26632340714,48.2,16945753,48.773,49.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2002,3564.0960260637,49.341,17519417,48.53,48.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2003,3614.60727757145,50.508,18121479,48.285,47,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2004,3978.69719450811,51.676,18758145,48.025,45.6,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2005,4555.18584238934,52.833,19433602,47.726,43.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2010,6230.29702794539,58.192,23356246,45.314,36.5,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1993,2190.76815959398,42.329,13075049,51.641,54,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1994,2195.53228855789,42.677,13503747,51.216,53.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1995,2496.19949344602,43.125,13945206,50.792,53.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2014,7199.24547788095,60.858,26941779,42.864,31.6,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2011,6346.39512245023,59.042,24220661,44.688,35.2,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2012,6772.528333315,59.77,25107931,44.058,33.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2013,6980.42303770718,60.373,26015780,43.446,32.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2015,7096.60061495221,61.241,27884381,42.321,30.6,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2016,6756.93507436951,61.547,28842484,41.819,29.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2017,6650.58493984778,61.809,29816748,41.347,29.1,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1996,2794.89690618184,43.695,14400719,50.383,53.5,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1997,2953.34270861131,44.385,14871570,49.999,53,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1998,3027.34179532139,45.192,15359601,49.644,52.4,"Sub-Saharan Africa","Lower middle income"
"AR","ARG","Argentina",1992,8942.56985338672,72.023,33529326,21.366,14.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1990,7380.11503126293,71.565,32618651,21.804,15,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1995,10225.1187126326,72.719,34828170,20.501,13.4,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1991,8210.6434322406,71.79,33079000,21.603,14.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1993,9777.21400455893,72.256,33970111,21.097,14.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1994,10435.9107722067,72.489,34402672,20.804,14.1,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1998,12255.6762581191,73.397,36063459,19.727,11.1,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1999,11878.7311737753,73.618,36467218,19.55,10.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2000,11916.5826090011,73.832,36870787,19.413,10.6,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2001,11514.6191069309,74.039,37275652,19.302,10.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2002,10310.1291162543,74.236,37681749,19.199,10.3,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2003,11307.7579845085,74.424,38087868,19.091,10,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2004,12527.8004963472,74.603,38491972,18.97,9.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1996,10857.429668462,72.947,35246374,20.21,12.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",1997,11802.842587708,73.173,35657429,19.948,11.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2005,13916.5305135208,74.775,38892931,18.836,8.9,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2006,15334.9368605184,74.941,39289878,18.695,8.3,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2014,20008.3206437752,76.252,42669500,17.547,7.1,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2015,20551.8331920467,76.415,43131966,17.364,6.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2012,19764.2250139108,75.926,41733271,17.875,7.4,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2013,20365.6133493801,76.089,42202935,17.717,7.3,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2010,18524.856756023,75.595,40788453,18.154,7.7,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2007,16994.6959838827,75.105,39684295,18.553,8,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2016,20130.4080257871,76.577,43590368,17.172,6.3,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2017,20843.1550677175,76.738,44044811,16.975,5.9,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2011,19817.4504765479,75.761,41261490,18.019,7.5,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2008,17850.130189637,75.268,40080160,18.417,7.9,"Latin America & Caribbean","High income"
"AR","ARG","Argentina",2009,16753.3948879075,75.431,40482788,18.285,7.9,"Latin America & Caribbean","High income"
"AS","ASM","American Samoa",2006,,,59107,21.6,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1990,,,47347,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2007,,,58365,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1992,,,49896,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2008,,,57492,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2009,,,56683,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1991,,,48685,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2000,,,57821,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2001,,,58494,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2002,,,59080,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2003,,,59504,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2004,,,59681,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2005,,,59562,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1993,,,51020,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1994,,,52095,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1995,,,53161,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1996,,,54211,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1997,,,55221,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1998,,,56171,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1999,,,57053,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2014,,,55791,17.5,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2015,,,55812,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2016,,,55741,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2017,,,55620,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2013,,,55713,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2010,,,56079,18.7,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2011,,,55759,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2012,,,55667,,,"East Asia & Pacific","Upper middle income"
"AT","AUT","Austria",1990,19442.312042665,75.5682926829269,7677850,11.8,4.6,"Europe & Central Asia","High income"
"AT","AUT","Austria",1991,20585.0193104127,75.6170731707317,7754891,12.2,4.4,"Europe & Central Asia","High income"
"AT","AUT","Austria",2005,35013.7140443423,79.3317073170732,8227829,9.5,2.8,"Europe & Central Asia","High income"
"AT","AUT","Austria",2006,37623.0757580996,79.8804878048781,8268641,9.4,2.8,"Europe & Central Asia","High income"
"AT","AUT","Austria",2007,39392.5405883999,80.1804878048781,8295487,9.2,2.7,"Europe & Central Asia","High income"
