job,total_workers,median_pay,men_workers,men_median_pay,women_workers,women_median_pay
Waiters and waitresses,932,496,321,551,611,478
Dining room and cafeteria attendants and bartender helpers,118,447,59,500,58,408
First-line supervisors of housekeeping and janitorial workers,193,711,116,772,77,615
Janitors and building cleaners,"1,672",571,"1,193",607,480,491
Maids and housekeeping cleaners,825,467,102,559,723,457
Miscellaneous personal appearance workers,258,523,52,615,206,512
Personal care aides,786,500,132,555,654,493
Recreation and fitness workers,208,603,100,724,109,543
First-line supervisors of retail sales workers,"2,421",795,"1,359",911,"1,062",672
First-line supervisors of non-retail sales workers,893,"1,153",588,"1,199",305,"1,054"
Cashiers,"1,390",465,377,468,"1,013",463
Retail salespersons,"1,860",657,"1,144",764,716,543
Advertising sales agents,169,998,91,950,79,"1,053"
Insurance sales agents,466,859,205,"1,048",261,809
"Securities, commodities, and financial services sales agents",197,"1,440",131,"1,639",66,"1,047"
"Sales representatives, services, all other",427,"1,230",315,"1,345",113,933
"Sales representatives, wholesale and manufacturing","1,112","1,161",817,"1,239",295,"1,009"
Real estate brokers and sales agents,528,"1,019",236,"1,264",291,883
"Sales and related workers, all other",227,"1,036",118,"1,323",109,873
First-line supervisors of office and administrative support workers,"1,279",885,386,"1,050",892,835
Billing and posting clerks,417,721,56,664,361,725
"Bookkeeping, accounting, and auditing clerks",679,742,104,778,575,739
Customer service representatives,"1,904",683,678,689,"1,226",680
Receptionists and information clerks,934,605,81,593,853,606
Reservation and transportation ticket agents and travel clerks,109,745,50,681,60,766
Dispatchers,270,783,108,926,162,725
Postal service clerks,115,765,51,758,63,771
Postal service mail carriers,288,931,170,983,118,808
"Production, planning, and expediting clerks",252,870,119,"1,004",134,790
"Shipping, receiving, and traffic clerks",524,632,365,654,160,590
Stock clerks and order fillers,988,562,629,558,359,570
Secretaries and administrative assistants,"1,977",759,122,903,"1,855",753
Data entry keyers,224,655,52,730,173,643
"Office clerks, general",925,697,128,670,797,701
"Office and administrative support workers, all other",456,794,104,920,352,762
Miscellaneous agricultural workers,641,552,512,578,130,474
First-line supervisors of production and operating workers,792,980,642,"1,050",150,745
"Electrical, electronics, and electromechanical assemblers",110,605,57,706,53,518
Miscellaneous assemblers and fabricators,989,663,641,723,348,583
Bakers,151,549,61,565,89,533
"Butchers and other meat, poultry, and fish processing workers",223,606,158,632,65,557
"Food processing workers, all other",142,624,90,749,52,539
"Metal workers and plastic workers, all other",356,698,290,724,66,611
"Inspectors, testers, sorters, samplers, and weighers",756,771,490,868,267,679
Packaging and filling machine operators and tenders,250,529,110,602,140,496
"Production workers, all other",992,678,729,725,263,566
Bus drivers,361,655,216,735,144,599
Driver/sales workers and truck drivers,"2,791",817,"2,636",829,155,559
Taxi drivers and chauffeurs,399,611,341,628,58,450
"Laborers and freight, stock, and material movers, hand","1,595",603,"1,277",620,318,541
"Packers and packagers, hand",490,495,205,516,285,484
