"country","iso3c","gdp_percap"
"Uzbekistan","UZB",6644.5688858411
"St. Vincent and the Grenadines","VCT",11776.6715734858
"Venezuela, RB","VEN",
"British Virgin Islands","VGB",
"Virgin Islands (U.S.)","VIR",
"Vietnam","VNM",6857.98404387187
"Vanuatu","VUT",3110.31028343763
"Samoa","WSM",6677.68551022861
"Kosovo","XKX",10759.6489225281
"Yemen, Rep.","YEM",2645.30838302614
"South Africa","ZAF",13458.9637418502
"Zambia","ZMB",4090.12004042731
"Zimbabwe","ZWE",2825.72512228756
